Index,Name,FromYear,ToYear,Area,Type,References,MemberOf,FullPath,Region,Subregion,ColorR,ColorG,ColorB,Generated,SourceRun,OverlapNote,geometry
1,(Marhashi),-2286.5,-2280.2,96959.8,POLITY,,,(Marhashi),Southwest Asia,Iran,240,192,0,2026-08-21,(Marhashi),,"MULTIPOLYGON (((53.90047 26.53317, 53.89958 26.53428, 53.892…"
2,(Marhashi),-2279.3,-2276.3,96959.8,POLITY,,,(Marhashi),Southwest Asia,Iran,240,192,0,2026-08-21,(Marhashi),,"MULTIPOLYGON (((53.90047 26.53317, 53.89958 26.53428, 53.892…"
3,(Marhashi),-2270.4,-2268.4,96959.8,POLITY,,,(Marhashi),Southwest Asia,Iran,240,192,0,2026-08-21,(Marhashi),,"MULTIPOLYGON (((53.90047 26.53317, 53.89958 26.53428, 53.892…"
4,(Marhashi),-2242.6,-2240.3,96959.8,POLITY,,,(Marhashi),Southwest Asia,Iran,240,192,0,2026-08-21,(Marhashi),,"MULTIPOLYGON (((53.90047 26.53317, 53.89958 26.53428, 53.892…"
5,(Marhashi),-2230.5,-2206.5,96959.8,POLITY,,,(Marhashi),Southwest Asia,Iran,240,192,0,2026-08-21,(Marhashi),,"MULTIPOLYGON (((53.90047 26.53317, 53.89958 26.53428, 53.892…"
6,(Marhashi),-2206.5,-2205.4,126918.6,POLITY,,,(Marhashi),Southwest Asia,Iran,240,192,0,2026-08-21,(Marhashi),,"MULTIPOLYGON (((53.90047 26.53317, 53.89958 26.53428, 53.892…"
7,(Marhashi),-2205.4,-2204.4,245821.3,POLITY,,,(Marhashi),Southwest Asia,Iran,240,192,0,2026-08-21,(Marhashi),,"MULTIPOLYGON (((51.46317 27.8652, 51.46756 27.85747, 51.4666…"
8,(Marhashi),-2204.4,-2203.6,289048.0,POLITY,,,(Marhashi),Southwest Asia,Iran,240,192,0,2026-08-21,(Marhashi),,"MULTIPOLYGON (((50.88739 28.98995, 50.88445 28.98772, 50.865…"
9,(Marhashi),-2203.6,-2202.5,341300.3,POLITY,,,(Marhashi),Southwest Asia,Iran,240,192,0,2026-08-21,(Marhashi),,"MULTIPOLYGON (((50.88739 28.98995, 50.88445 28.98772, 50.865…"
10,(Marhashi),-2202.5,-2180.5,245821.3,POLITY,,,(Marhashi),Southwest Asia,Iran,240,192,0,2026-08-21,(Marhashi),,"MULTIPOLYGON (((51.46317 27.8652, 51.46756 27.85747, 51.4666…"
11,(Marhashi),-2070.5,-2005.5,126918.6,POLITY,,,(Marhashi),Southwest Asia,Iran,240,192,0,2026-08-21,(Marhashi),,"MULTIPOLYGON (((53.90047 26.53317, 53.89958 26.53428, 53.892…"
12,Anshan,-2205.4,-2180.5,105308.2,POLITY,,((Marhashi)),(Marhashi) - Anshan,Southwest Asia,Iran,240,192,3,2026-08-21,(Marhashi),,"MULTIPOLYGON (((51.42353 27.90703, 51.43973 27.88978, 51.453…"
13,Army of (Marhashi) and Zahara,-2204.6,-2204.5,1231.7,TRANSIENT,,((Marhashi)),(Marhashi) - Army of (Marhashi) and Zahara,Southwest Asia,Iran,240,192,5,2026-08-21,(Marhashi),,"POLYGON ((50.8724 31.1352, 50.8155 31.2006, 50.7431 31.2398,…"
14,Army of (Marhashi) and Zahara,-2204.5,-2204.4,3392.8,TRANSIENT,,((Marhashi)),(Marhashi) - Army of (Marhashi) and Zahara,Southwest Asia,Iran,240,192,5,2026-08-21,(Marhashi),,"POLYGON ((50.8155 31.2006, 50.7431 31.2398, 50.6759 31.3052,…"
15,Army of (Marhashi) and Zahara,-2204.4,-2204.3,1231.7,TRANSIENT,,((Marhashi)),(Marhashi) - Army of (Marhashi) and Zahara,Southwest Asia,Iran,240,192,5,2026-08-21,(Marhashi),,"POLYGON ((50.8724 31.1352, 50.8155 31.2006, 50.7431 31.2398,…"
16,Army of (Marhashi) and Zahara,-2203.8,-2203.7,2006.6,TRANSIENT,,((Marhashi)),(Marhashi) - Army of (Marhashi) and Zahara,Southwest Asia,Iran,240,192,5,2026-08-21,(Marhashi),,"POLYGON ((48.8224 31.452, 48.8069 31.5087, 48.7707 31.5872, …"
17,Army of (Marhashi) and Zahara,-2203.7,-2203.6,4191.5,TRANSIENT,,((Marhashi)),(Marhashi) - Army of (Marhashi) and Zahara,Southwest Asia,Mesopotamia,240,192,5,2026-08-21,(Marhashi),,"POLYGON ((47.3948 32.3154, 47.5552 32.3154, 47.7517 32.3198,…"
18,Army of (Marhashi) and Zahara,-2203.6,-2203.5,5604.3,TRANSIENT,,((Marhashi)),(Marhashi) - Army of (Marhashi) and Zahara,Southwest Asia,Mesopotamia,240,192,5,2026-08-21,(Marhashi),,"POLYGON ((47.3948 32.3154, 47.5552 32.3154, 47.7517 32.3198,…"
19,Army of (Marhashi) and Zahara,-2203.5,-2203.4,4191.5,TRANSIENT,,((Marhashi)),(Marhashi) - Army of (Marhashi) and Zahara,Southwest Asia,Mesopotamia,240,192,5,2026-08-21,(Marhashi),,"POLYGON ((47.3948 32.3154, 47.5552 32.3154, 47.7517 32.3198,…"
20,Army of (Marhashi) and Zahara,-2203.4,-2203.3,2006.6,TRANSIENT,,((Marhashi)),(Marhashi) - Army of (Marhashi) and Zahara,Southwest Asia,Iran,240,192,5,2026-08-21,(Marhashi),,"POLYGON ((48.8224 31.452, 48.8069 31.5087, 48.7707 31.5872, …"
21,Elam,-2204.4,-2202.5,43226.7,POLITY,,((Marhashi)),(Marhashi) - Elam,Southwest Asia,Iran,240,192,6,2026-08-21,(Marhashi),,"POLYGON ((49.9776 30.6407, 49.9507 30.6407, 49.9238 30.639, …"
22,Elamite allied army,-2277.4,-2277.3,1958.2,TRANSIENT,,((Marhashi)),(Marhashi) - Elamite allied army,Southwest Asia,Iran,240,192,1,2026-08-21,(Marhashi),,"POLYGON ((54.1483 28.5116, 54.0707 28.5378, 53.9776 28.5596,…"
23,Elamite allied army,-2277.3,-2276.8,24.1,TRANSIENT,,((Marhashi)),(Marhashi) - Elamite allied army,Southwest Asia,Iran,240,192,1,2026-08-21,(Marhashi),,"POLYGON ((52.3862 29.9939, 52.379 29.9869, 52.3593 29.9878, …"
24,Elamite allied army,-2276.8,-2276.7,1302.0,TRANSIENT,,((Marhashi)),(Marhashi) - Elamite allied army,Southwest Asia,Iran,240,192,1,2026-08-21,(Marhashi),,"POLYGON ((52.3572 30.0358, 52.3469 30.0706, 52.3417 30.0881,…"
25,Elamite allied army,-2276.7,-2276.6,1402.4,TRANSIENT,,((Marhashi)),(Marhashi) - Elamite allied army,Southwest Asia,Iran,240,192,1,2026-08-21,(Marhashi),,"POLYGON ((50.0641 31.6564, 50.1521 31.6172, 50.2503 31.5779,…"
26,Elamite allied army,-2276.6,-2276.5,1035.8,TRANSIENT,,((Marhashi)),(Marhashi) - Elamite allied army,Southwest Asia,Iran,240,192,1,2026-08-21,(Marhashi),,"POLYGON ((49.121 32.0125, 49.0434 32.0387, 48.9607 32.0648, …"
27,Elamite allied army,-2276.5,-2276.4,59.7,TRANSIENT,,((Marhashi)),(Marhashi) - Elamite allied army,Southwest Asia,Iran,240,192,1,2026-08-21,(Marhashi),,"POLYGON ((47.8848 32.6448, 47.8331 32.6884, 47.771 32.6404, …"
28,Pashime,-2205.4,-2180.5,13594.5,POLITY,,((Marhashi)),(Marhashi) - Pashime,Southwest Asia,Iran,240,192,4,2026-08-21,(Marhashi),,"MULTIPOLYGON (((50.64261 29.16017, 50.64036 29.1775, 50.6442…"
29,Susiana,-2203.6,-2202.5,52252.3,POLITY,,((Marhashi)),(Marhashi) - Susiana,Southwest Asia,Iran,240,192,7,2026-08-21,(Marhashi),,"MULTIPOLYGON (((48.0369 30.7331, 47.9852 30.7366, 47.941 30.…"
30,Zahara,-2206.5,-2180.5,29958.8,POLITY,,((Marhashi)),(Marhashi) - Zahara,Southwest Asia,Iran,240,192,2,2026-08-21,(Marhashi),,"POLYGON ((55.7759 29.984, 55.8328 29.9709, 55.8845 29.9535, …"
31,Zahara,-2070.5,-2005.5,29958.8,POLITY,,((Marhashi)),(Marhashi) - Zahara,Southwest Asia,Iran,240,192,2,2026-08-21,(Marhashi),,"POLYGON ((55.7759 29.984, 55.8328 29.9709, 55.8845 29.9535, …"
32,Abhiras,-610.1,-317.5,12460.9,POLITY,,,Abhiras,South Asia,North India,244,243,254,2026-08-21,Abhiras,,"POLYGON ((71.0453 26.1336, 71.1292 26.1248, 71.2262 26.1248,…"
33,Abilianikhi,-880.1,-749.5,5757.4,POLITY,,,Abilianikhi,Southwest Asia,Anatolia-Caucasus,80,192,80,2026-08-21,Abilianikhi,,"POLYGON ((43.13778 41.06389, 43.129 41.0569, 43.1124 41.0445…"
34,Abilianikhi,-735.4,-591.5,5757.4,POLITY,,,Abilianikhi,Southwest Asia,Anatolia-Caucasus,80,192,80,2026-08-21,Abilianikhi,,"POLYGON ((43.13778 41.06389, 43.129 41.0569, 43.1124 41.0445…"
35,Abisara,-337.5,-326.4,16544.6,POLITY,,,Abisara,South Asia,North India,144,144,112,2026-08-21,Abisara,,"POLYGON ((75.0188 33.9163, 75.0453 33.8589, 75.0762 33.8236,…"
36,Aboriginal Peoples,-2400.1,-2350.1,18325360.2,TRIBAL_AREA,,,Aboriginal Peoples,Oceania-Australia,Australia,144,32,128,2026-08-21,Aboriginal Peoples,,"MULTIPOINT ((146.6 -42.7), (145.6 -41.5), (147.6 -41.5), (14…"
37,Aboriginal Peoples,-2350.1,-2300.1,18271434.6,TRIBAL_AREA,,,Aboriginal Peoples,Oceania-Australia,Australia,144,32,128,2026-08-21,Aboriginal Peoples,,"MULTIPOINT ((146.6 -42.7), (145.6 -41.5), (147.6 -41.5), (14…"
38,Aboriginal Peoples,-2300.1,-2250.1,18136346.2,TRIBAL_AREA,,,Aboriginal Peoples,Oceania-Australia,Australia,144,32,128,2026-08-21,Aboriginal Peoples,,"MULTIPOINT ((146.6 -42.7), (145.6 -41.5), (147.6 -41.5), (14…"
39,Aboriginal Peoples,-2250.1,-2200.1,18073094.6,TRIBAL_AREA,,,Aboriginal Peoples,Oceania-Australia,Australia,144,32,128,2026-08-21,Aboriginal Peoples,,"MULTIPOINT ((146.6 -42.7), (145.6 -41.5), (147.6 -41.5), (14…"
